pred_horizon,mesh_size,theta_0,alpha_0,theta_dot_0,alpha_dot_0,iteration,theta,alpha,theta_dot,alpha_dot,cost,time
15.0,3.0,0.0,3.141592653589793,0.0,0.0,19.0,-2.355,3.662,-5.034,-3.616,3016.662,11.371762512000714
15.0,3.0,0.0,3.141592653589793,0.0,0.0,20.0,-2.355,3.657,-5.258,-3.501,3017.068,11.970351384999958
15.0,3.0,0.0,3.141592653589793,0.0,0.0,21.0,-2.351,3.655,-5.783,-3.142,3017.706,12.568397447999814
15.0,3.0,0.0,3.141592653589793,0.0,0.0,22.0,-2.345,3.682,-5.84,-3.001,3017.439,13.165040949001195
15.0,3.0,0.0,3.141592653589793,0.0,0.0,23.0,-2.347,3.7,-5.861,-2.883,3017.896,13.763079473001198
15.0,3.0,0.0,3.141592653589793,0.0,0.0,24.0,-2.356,3.691,-6.054,-2.808,3017.509,14.362445771999774
15.0,3.0,0.0,3.141592653589793,0.0,0.0,25.0,-2.353,3.694,-6.002,-2.833,3017.565,14.960114883000642
15.0,3.0,0.0,3.141592653589793,0.0,0.0,26.0,-2.354,3.703,-5.943,-2.834,3017.734,15.559515560000364
15.0,3.0,0.0,3.141592653589793,0.0,0.0,27.0,-2.353,3.695,-5.898,-2.89,3017.537,16.1576454570004
15.0,3.0,0.0,3.141592653589793,0.0,0.0,28.0,-2.353,3.695,-5.821,-2.952,3017.056,16.755069700000604
15.0,3.0,0.0,3.141592653589793,0.0,0.0,29.0,-2.338,3.684,-5.887,-2.919,3017.067,17.35298036200038
15.0,3.0,0.0,3.141592653589793,0.0,0.0,30.0,-2.352,3.692,-5.924,-2.909,3016.768,17.94981203700081
15.0,3.0,0.0,3.141592653589793,0.0,0.0,1.0,-1.425,3.34,-4.608,-1.566,3119.65,0.6006756790011423
15.0,3.0,0.0,3.141592653589793,0.0,0.0,2.0,-2.113,3.57,-6.518,-2.109,3042.654,1.1993975410005078
15.0,3.0,0.0,3.141592653589793,0.0,0.0,3.0,-2.164,3.435,-6.014,-3.221,3053.084,1.7977454660012882
15.0,3.0,0.0,3.141592653589793,0.0,0.0,4.0,-2.031,3.461,-5.662,-2.766,3047.655,2.3957764510014385
15.0,3.0,0.0,3.141592653589793,0.0,0.0,5.0,-2.188,3.527,-5.517,-3.057,3041.647,2.9934914000004937
15.0,3.0,0.0,3.141592653589793,0.0,0.0,6.0,-1.976,3.427,-4.67,-3.364,3046.983,3.5909292129999812
15.0,3.0,0.0,3.141592653589793,0.0,0.0,7.0,-2.181,3.556,-5.185,-3.227,3042.235,4.188585357000193
15.0,3.0,0.0,3.141592653589793,0.0,0.0,8.0,-2.349,3.652,-4.551,-3.969,3026.398,4.787153422999836
15.0,3.0,0.0,3.141592653589793,0.0,0.0,9.0,-2.259,3.553,-4.094,-4.469,3033.614,5.386444030000348
15.0,3.0,0.0,3.141592653589793,0.0,0.0,10.0,-2.322,3.635,-4.925,-3.875,3019.571,5.985088391000318
15.0,3.0,0.0,3.141592653589793,0.0,0.0,11.0,-2.354,3.64,-5.244,-3.868,3031.193,6.5837580830011575
15.0,3.0,0.0,3.141592653589793,0.0,0.0,12.0,-2.253,3.589,-4.505,-4.142,3027.947,7.184129184000994
15.0,3.0,0.0,3.141592653589793,0.0,0.0,13.0,-2.354,3.693,-5.047,-3.809,3025.266,7.786483654999756
15.0,3.0,0.0,3.141592653589793,0.0,0.0,14.0,-2.342,3.671,-5.712,-3.322,3022.99,8.383865981000781
15.0,3.0,0.0,3.141592653589793,0.0,0.0,15.0,-2.35,3.674,-5.17,-3.688,3024.834,8.981831226001304
15.0,3.0,0.0,3.141592653589793,0.0,0.0,16.0,-2.347,3.662,-5.454,-3.571,3024.608,9.579058549001275
15.0,3.0,0.0,3.141592653589793,0.0,0.0,17.0,-2.346,3.658,-5.429,-3.536,3021.269,10.178020756000478
